"cell_id","pseudotime_original"
"young_LT_HSC_88",0
"young_LT_HSC_89",0
"young_LT_HSC_9",0
"young_LT_HSC_90",0
"young_LT_HSC_91",0
"young_LT_HSC_92",0
"young_LT_HSC_93",0
"young_LT_HSC_94",0
"young_LT_HSC_95",0
"young_LT_HSC_96",0
"young_ST_HSC_101",1
"young_ST_HSC_102",1
"young_ST_HSC_104",1
"young_ST_HSC_106",1
"young_ST_HSC_107",1
"young_ST_HSC_108",1
"young_ST_HSC_109",1
"young_ST_HSC_11",1
"young_ST_HSC_110",1
"young_ST_HSC_111",1
"young_ST_HSC_112",1
"young_ST_HSC_113",1
"young_ST_HSC_114",1
"young_ST_HSC_115",1
"young_ST_HSC_116",1
"young_ST_HSC_117",1
"young_ST_HSC_118",1
"young_ST_HSC_119",1
"young_ST_HSC_12",1
"young_ST_HSC_121",1
"young_ST_HSC_122",1
"young_ST_HSC_124",1
"young_ST_HSC_125",1
"young_ST_HSC_126",1
"young_ST_HSC_127",1
"young_ST_HSC_128",1
"young_ST_HSC_129",1
"young_ST_HSC_13",1
"young_ST_HSC_130",1
"young_ST_HSC_131",1
"young_ST_HSC_132",1
"young_ST_HSC_133",1
"young_ST_HSC_134",1
"young_ST_HSC_135",1
"young_ST_HSC_136",1
"young_ST_HSC_137",1
"young_ST_HSC_138",1
"young_ST_HSC_139",1
"young_ST_HSC_14",1
"young_ST_HSC_140",1
"young_ST_HSC_141",1
"young_ST_HSC_142",1
"young_ST_HSC_143",1
"young_ST_HSC_144",1
"young_ST_HSC_145",1
"young_ST_HSC_146",1
"young_ST_HSC_147",1
"young_ST_HSC_148",1
"young_ST_HSC_149",1
"young_ST_HSC_15",1
"young_ST_HSC_150",1
"young_ST_HSC_151",1
"young_ST_HSC_153",1
"young_ST_HSC_154",1
"young_ST_HSC_155",1
"young_ST_HSC_156",1
"young_ST_HSC_157",1
"young_ST_HSC_158",1
"young_ST_HSC_159",1
"young_ST_HSC_16",1
"young_ST_HSC_160",1
"young_ST_HSC_162",1
"young_ST_HSC_163",1
"young_ST_HSC_164",1
"young_ST_HSC_165",1
"young_ST_HSC_166",1
"young_ST_HSC_167",1
"young_ST_HSC_168",1
"young_ST_HSC_169",1
"young_ST_HSC_170",1
"young_ST_HSC_171",1
"young_ST_HSC_172",1
"young_ST_HSC_173",1
"young_ST_HSC_174",1
"young_ST_HSC_175",1
"young_ST_HSC_176",1
"young_ST_HSC_177",1
"young_ST_HSC_178",1
"young_ST_HSC_179",1
"young_ST_HSC_18",1
"young_ST_HSC_182",1
"young_ST_HSC_183",1
"young_ST_HSC_184",1
"young_ST_HSC_185",1
"young_ST_HSC_186",1
"young_ST_HSC_187",1
"young_ST_HSC_188",1
"young_ST_HSC_189",1
"young_ST_HSC_19",1
"young_ST_HSC_190",1
"young_ST_HSC_191",1
"young_ST_HSC_192",1
"young_ST_HSC_21",1
"young_ST_HSC_22",1
"young_ST_HSC_23",1
"young_ST_HSC_25",1
"young_ST_HSC_26",1
"young_ST_HSC_27",1
"young_ST_HSC_28",1
"young_ST_HSC_30",1
"young_ST_HSC_32",1
"young_ST_HSC_33",1
"young_ST_HSC_35",1
"young_ST_HSC_36",1
"young_ST_HSC_38",1
"young_ST_HSC_39",1
"young_ST_HSC_40",1
"young_ST_HSC_41",1
"young_ST_HSC_42",1
"young_ST_HSC_43",1
"young_ST_HSC_44",1
"young_ST_HSC_45",1
"young_ST_HSC_46",1
"young_ST_HSC_47",1
"young_ST_HSC_5",1
"young_ST_HSC_50",1
"young_ST_HSC_51",1
"young_ST_HSC_52",1
"young_ST_HSC_53",1
"young_ST_HSC_54",1
"young_ST_HSC_57",1
"young_ST_HSC_58",1
"young_ST_HSC_59",1
"young_ST_HSC_6",1
"young_ST_HSC_60",1
"young_ST_HSC_61",1
"young_ST_HSC_63",1
"young_ST_HSC_64",1
"young_ST_HSC_65",1
"young_ST_HSC_66",1
"young_ST_HSC_67",1
"young_ST_HSC_68",1
"young_ST_HSC_69",1
"young_ST_HSC_70",1
"young_ST_HSC_71",1
"young_ST_HSC_72",1
"young_ST_HSC_73",1
"young_ST_HSC_74",1
"young_ST_HSC_75",1
"young_ST_HSC_77",1
"young_ST_HSC_78",1
"young_ST_HSC_8",1
"young_ST_HSC_80",1
"young_ST_HSC_82",1
"young_ST_HSC_83",1
"young_ST_HSC_84",1
"young_ST_HSC_86",1
"young_ST_HSC_87",1
"young_ST_HSC_88",1
"young_ST_HSC_89",1
"young_ST_HSC_9",1
"young_ST_HSC_90",1
"young_ST_HSC_91",1
"young_ST_HSC_92",1
"young_ST_HSC_93",1
"young_ST_HSC_95",1
"young_ST_HSC_96",1
"young_ST_HSC_99",1
"young_MPP_10",2
"young_MPP_102",2
"young_MPP_104",2
"young_MPP_107",2
"young_MPP_108",2
"young_MPP_109",2
"young_MPP_11",2
"young_MPP_110",2
"young_MPP_111",2
"young_MPP_113",2
"young_MPP_114",2
"young_MPP_115",2
"young_MPP_116",2
"young_MPP_117",2
"young_MPP_118",2
"young_MPP_119",2
"young_MPP_12",2
"young_MPP_120",2
"young_MPP_121",2
"young_MPP_122",2
"young_MPP_123",2
"young_MPP_124",2
"young_MPP_125",2
"young_MPP_126",2
"young_MPP_127",2
"young_MPP_128",2
"young_MPP_129",2
"young_MPP_13",2
"young_MPP_130",2
"young_MPP_134",2
"young_MPP_135",2
"young_MPP_136",2
"young_MPP_137",2
"young_MPP_138",2
"young_MPP_139",2
"young_MPP_14",2
"young_MPP_140",2
"young_MPP_141",2
"young_MPP_142",2
"young_MPP_143",2
"young_MPP_144",2
"young_MPP_145",2
"young_MPP_146",2
"young_MPP_147",2
"young_MPP_148",2
"young_MPP_15",2
"young_MPP_150",2
"young_MPP_151",2
"young_MPP_152",2
"young_MPP_153",2
"young_MPP_154",2
"young_MPP_155",2
"young_MPP_156",2
"young_MPP_157",2
"young_MPP_158",2
"young_MPP_159",2
"young_MPP_16",2
"young_MPP_160",2
"young_MPP_161",2
"young_MPP_162",2
"young_MPP_163",2
"young_MPP_164",2
"young_MPP_165",2
"young_MPP_166",2
"young_MPP_167",2
"young_MPP_168",2
"young_MPP_169",2
"young_MPP_17",2
"young_MPP_170",2
"young_MPP_171",2
"young_MPP_172",2
"young_MPP_173",2
"young_MPP_174",2
"young_MPP_176",2
"young_MPP_177",2
"young_MPP_178",2
"young_MPP_179",2
"young_MPP_18",2
"young_MPP_180",2
"young_MPP_182",2
"young_MPP_183",2
"young_MPP_184",2
"young_MPP_185",2
"young_MPP_186",2
"young_MPP_187",2
"young_MPP_188",2
"young_MPP_189",2
"young_MPP_19",2
"young_MPP_190",2
"young_MPP_191",2
"young_MPP_2",2
"young_MPP_20",2
"young_MPP_21",2
"young_MPP_22",2
"young_MPP_23",2
"young_MPP_24",2
"young_MPP_25",2
"young_MPP_26",2
"young_MPP_27",2
"young_MPP_28",2
"young_MPP_29",2
"young_MPP_30",2
"young_MPP_31",2
"young_MPP_32",2
"young_MPP_33",2
"young_MPP_34",2
"young_MPP_35",2
"young_MPP_36",2
"young_MPP_37",2
"young_MPP_38",2
"young_MPP_39",2
"young_MPP_40",2
"young_MPP_41",2
"young_MPP_42",2
"young_MPP_43",2
"young_MPP_44",2
"young_MPP_45",2
"young_MPP_46",2
"young_MPP_47",2
"young_MPP_48",2
"young_MPP_5",2
"young_MPP_50",2
"young_MPP_51",2
"young_MPP_52",2
"young_MPP_54",2
"young_MPP_55",2
"young_MPP_56",2
"young_MPP_57",2
"young_MPP_58",2
"young_MPP_59",2
"young_MPP_6",2
"young_MPP_60",2
"young_MPP_62",2
"young_MPP_63",2
"young_MPP_64",2
"young_MPP_65",2
"young_MPP_66",2
"young_MPP_67",2
"young_MPP_68",2
"young_MPP_69",2
"young_MPP_70",2
"young_MPP_71",2
"young_MPP_72",2
"young_MPP_73",2
"young_MPP_74",2
"young_MPP_75",2
"young_MPP_76",2
"young_MPP_77",2
"young_MPP_78",2
"young_MPP_79",2
"young_MPP_8",2
"young_MPP_80",2
"young_MPP_81",2
"young_MPP_82",2
"young_MPP_83",2
"young_MPP_85",2
"young_MPP_86",2
"young_MPP_87",2
"young_MPP_88",2
"young_MPP_89",2
"young_MPP_9",2
"young_MPP_90",2
"young_MPP_91",2
"young_MPP_92",2
"young_MPP_93",2
"young_MPP_94",2
"young_MPP_96",2
"young_MPP_98",2
